	base__hugo	base__num_variants	base__so	base__all_so	base__note
414	TCF15	28	MIS	MIS(1),INT(16),UT5(3),2KU(4),2KD(4)	
415	TCFL5	37	MIS	MIS(1),INT(30),UT3(1),2KU(1),2KD(4)	
416	TFAP2C	31	FSI	FSI(2),MIS(4),INT(10),UT3(5),2KU(5),2KD(5)	
417	TGIF2	36	INT	INT(22),UT5(1),UT3(7),2KU(4),2KD(2)	
418	TGIF2-C20orf24	46	INT	INT(43),2KU(2),2KD(1)	
419	TGM2	54	MIS	MIS(3),SYN(3),INT(43),UT3(4),2KU(1)	
420	TGM3	128	MIS	MIS(2),SYN(1),INT(90),UT3(8),2KU(6),2KD(21)	
421	TGM6	93	SYN	SYN(1),INT(86),2KU(2),2KD(4)	
422	THBD	17	MIS	MIS(2),UT5(1),UT3(4),2KU(7),2KD(3)	
423	TLDC2	23	INT	INT(20),2KD(3)	
424	TM9SF4	16	INT	INT(14),UT5(1),2KU(1)	
425	TMC2	334	FSI	FSI(1),MIS(4),SYN(4),INT(318),2KU(6),2KD(1)	
426	TMEM189	63	MIS	MIS(1),INT(48),UT3(11),2KU(2),2KD(1)	
427	TMEM189-UBE2V1	108	MIS	MIS(1),INT(98),UT3(6),2KU(2),2KD(1)	
428	TMEM230	73	SYN	SYN(1),INT(61),2KU(1),2KD(10)	
429	TMEM239	9	SYN	SYN(1),UT3(2),2KU(4),2KD(2)	
430	TMEM74B	1	UT5	UT5(1)	
431	TMX4	59	SYN	SYN(1),INT(52),UT3(3),2KU(2),2KD(1)	
432	TNNC2	20	FSI	FSI(1),MIS(1),INT(13),2KD(5)	
433	TOMM34	30	INT	INT(20),2KU(3),2KD(7)	
434	TOP1	94	INT	INT(90),UT5(1),2KU(3)	
435	TOX2	192	SYN	SYN(4),INT(183),2KU(2),2KD(3)	
436	TP53INP2	1	INT	INT(1)	
437	TP53RK	7	FSI	FSI(1),INT(3),UT3(2),2KD(1)	
438	TP53TG5	10	INT	INT(4),UT3(2),2KU(3),2KD(1)	
439	TPX2	21	INT	INT(17),UT5(2),2KU(2)	
440	TRIB3	36	IND	IND(1),INT(21),2KU(8),2KD(6)	
441	TRMT6	7	FSD	FSD(1),INT(5),2KD(1)	
442	TRPC4AP	110	MIS	MIS(1),INT(105),UT3(2),2KD(2)	
443	TSHZ2	950	FSI	FSI(2),FSD(1),MIS(6),SYN(7),INT(883),UT3(37),2KD(14)	
444	TTI1	71	MIS	MIS(2),SYN(1),INT(64),UT3(1),2KU(1),2KD(2)	
445	TTLL9	102	FSD	FSD(1),MIS(2),SYN(1),INT(92),2KD(6)	
446	TTPAL	39	MIS	MIS(1),INT(19),UT3(12),2KU(2),2KD(5)	
447	TUBB1	12	MIS	MIS(2),INT(3),UT3(1),2KU(1),2KD(5)	
448	UBE2C	53	FSI	FSI(1),INT(30),2KU(14),2KD(8)	
449	UBE2V1	46	INT	INT(37),UT3(6),2KU(2),2KD(1)	
450	UBOX5	76	SYN	SYN(1),INT(69),UT3(1),2KU(4),2KD(1)	
451	UQCC1	53	MIS	MIS(1),INT(50),UT3(1),2KU(1)	
452	VAPB	44	INT	INT(41),UT5(1),UT3(1),2KU(1)	
453	VPS16	29	FSD	FSD(1),MIS(2),SYN(3),INT(22),2KD(1)	
454	VSTM2L	57	SYN	SYN(1),INT(49),UT3(3),2KU(2),2KD(2)	
455	VSX1	26	MIS	MIS(1),INT(13),UT5(2),UT3(2),2KU(5),2KD(3)	
456	WFDC10A	10	INT	INT(4),2KU(2),2KD(4)	
457	WFDC10B	28	INT	INT(23),2KU(5)	
458	WFDC11	68	MIS	MIS(1),SYN(1),INT(56),UT3(1),2KU(2),2KD(7)	
459	WFDC12	4	2KU	2KU(2),2KD(2)	
460	WFDC13	20	MIS	MIS(1),SYN(2),INT(8),UT3(1),2KD(8)	
461	WFDC2	29	INT	INT(13),2KU(5),2KD(11)	
462	WFDC3	32	MIS	MIS(1),SYN(1),INT(21),2KU(9)	
463	WFDC5	13	INT	INT(7),2KU(6)	
464	WFDC6	14	INT	INT(8),2KU(4),2KD(2)	
465	WFDC8	31	INT	INT(24),2KU(4),2KD(3)	
466	WFDC9	42	SYN	SYN(1),INT(32),2KU(5),2KD(4)	
467	WISP2	6	INT	INT(4),2KU(1),2KD(1)	
468	XKR7	39	INT	INT(30),UT3(7),2KD(2)	
469	XRN2	93	FSD	FSD(2),SYN(1),INT(83),2KU(6),2KD(1)	
470	YWHAB	64	INT	INT(52),UT5(1),UT3(5),2KU(2),2KD(4)	
471	ZBP1	23	INT	INT(16),UT5(1),UT3(1),2KU(1),2KD(4)	
472	ZCCHC3	5	UT3	UT3(4),2KU(1)	
473	ZFP64	365	MIS	MIS(4),SYN(8),INT(350),UT5(1),2KU(2)	
474	ZHX3	143	STG	STG(1),SPL(1),MIS(5),SYN(2),INT(117),UT3(12),2KU(2),2KD(3)	
475	ZMYND8	283	FSI	FSI(2),FSD(1),MIS(2),SYN(2),INT(268),UT3(2),2KU(1),2KD(5)	
476	ZNF133	47	MIS	MIS(3),INT(38),2KU(2),2KD(4)	
477	ZNF217	79	STG	STG(1),IND(1),MIS(6),SYN(7),INT(58),UT3(2),2KU(2),2KD(2)	
478	ZNF334	27	MIS	MIS(1),SYN(1),INT(23),2KU(1),2KD(1)	
479	ZNF335	5	INT	INT(5)	
480	ZNF337	25	FSD	FSD(1),MIS(1),SYN(1),INT(19),2KU(2),2KD(1)	
481	ZNF341	47	MIS	MIS(1),SYN(1),INT(38),UT3(1),2KD(6)	
482	ZNF343	71	FSD	FSD(1),MIS(1),INT(58),UT5(1),UT3(1),2KU(5),2KD(4)	
483	ZNF831	52	MIS	MIS(1),SYN(1),INT(34),UT3(10),2KU(5),2KD(1)	
484	ZNFX1	28	FSI	FSI(1),MIS(3),SYN(1),INT(13),UT3(3),2KU(2),2KD(5)	
485	ZSWIM1	10	MIS	MIS(1),INT(5),2KU(4)	
486	ZSWIM3	21	FSD	FSD(1),INI(1),SYN(1),INT(6),UT5(1),UT3(2),2KU(5),2KD(4)	
