	base__hugo	base__num_variants	base__so	base__all_so	base__note
161	FERMT1	85	SYN	SYN(2),INT(70),UT5(1),UT3(5),2KU(4),2KD(3)	
162	FITM2	7	UT3	UT3(3),2KU(2),2KD(2)	
163	FKBP1A	99	SYN	SYN(1),INT(83),UT5(1),UT3(2),2KU(11),2KD(1)	
164	FLRT3	6	INT	INT(3),2KD(3)	
165	FOXA2	9	UT5	UT5(1),2KU(7),2KD(1)	
166	FOXS1	1	UT3	UT3(1)	
167	GATA5	9	INT	INT(8),2KU(1)	
168	GCNT7	138	FSD	FSD(1),MIS(3),SYN(3),INT(109),UT5(2),2KU(13),2KD(7)	
169	GDAP1L1	9	INT	INT(7),UT3(2)	
170	GDF5	17	INT	INT(13),2KU(2),2KD(2)	
171	GDF5OS	2	2KU	2KU(2)	
172	GFRA4	19	FSI	FSI(1),MIS(2),SYN(2),INT(2),UT3(1),2KU(7),2KD(4)	
173	GGT7	15	INT	INT(15)	
174	GHRH	6	INT	INT(5),2KD(1)	
175	GID8	5	UT3	UT3(2),2KD(3)	
176	GINS1	97	INT	INT(80),UT3(5),2KU(3),2KD(9)	
177	GNAS	181	FSD	FSD(1),SPL(2),MIS(7),SYN(2),INT(164),UT5(1),UT3(1),2KU(3)	
178	GNRH2	18	INT	INT(10),2KU(4),2KD(4)	
179	GPCPD1	112	INT	INT(100),UT5(1),UT3(2),2KU(2),2KD(7)	
180	GSS	1	INT	INT(1)	
181	GTSF1L	1	2KD	2KD(1)	
182	GZF1	32	MIS	MIS(1),SYN(2),INT(16),UT3(4),2KU(2),2KD(7)	
183	HAO1	95	INT	INT(84),UT5(1),2KU(5),2KD(5)	
184	HCK	46	MIS	MIS(2),SYN(1),INT(42),2KD(1)	
185	HM13	107	MIS	MIS(2),INT(94),UT3(5),2KU(3),2KD(3)	
186	HNF4A	308	MIS	MIS(1),SYN(2),INT(291),UT3(2),2KU(11),2KD(1)	
187	HRH3	10	MIS	MIS(2),INT(3),UT3(1),2KU(1),2KD(3)	
188	HSPA12B	21	FSD	FSD(1),INT(17),UT3(1),2KU(2)	
189	ID1	6	UT3	UT3(1),2KU(3),2KD(2)	
190	IDH3B	4	FSD	FSD(1),INT(2),2KU(1)	
191	IFT52	17	MIS	MIS(1),INT(13),2KU(1),2KD(2)	
192	INSM1	7	MIS	MIS(2),UT3(2),2KU(1),2KD(2)	
193	ISM1	161	MIS	MIS(1),INT(151),2KU(6),2KD(3)	
194	ITCH	38	INT	INT(37),2KU(1)	
195	ITPA	30	SPL	SPL(1),SYN(1),INT(21),UT5(1),UT3(1),2KU(4),2KD(1)	
196	JAG1	54	STG	STG(1),MIS(4),SYN(3),INT(34),UT3(4),2KU(3),2KD(5)	
197	JPH2	183	MIS	MIS(2),SYN(2),INT(153),UT5(6),UT3(5),2KU(15)	
198	KCNB1	69	FSI	FSI(1),INT(52),UT3(14),2KU(1),2KD(1)	
199	KCNG1	4	2KU	2KU(2),2KD(2)	
200	KCNK15	9	INT	INT(7),2KD(2)	
201	KCNS1	19	INT	INT(11),UT3(4),2KU(3),2KD(1)	
202	KIAA1755	54	SYN	SYN(1),INT(46),UT3(4),2KU(3)	
203	KIF16B	454	FSI	FSI(3),FSD(1),STG(1),MIS(3),INT(431),UT3(7),2KU(1),2KD(7)	
204	KIF3B	9	INT	INT(9)	
205	KIZ	140	MIS	MIS(1),INT(132),UT3(1),2KU(4),2KD(2)	
206	L3MBTL1	4	INT	INT(3),UT3(1)	
207	LAMA5	119	FSI	FSI(1),MIS(9),SYN(6),INT(87),2KU(5),2KD(11)	
208	LAMP5	2	INT	INT(2)	
209	LBP	19	INT	INT(17),2KU(1),2KD(1)	
210	LINC00493	19	FSD	FSD(1),INT(1),UT5(1),2KU(5),2KD(11)	
211	LINC01620	5	INT	INT(1),2KU(1),2KD(3)	
212	LPIN3	23	IND	IND(3),SYN(1),INT(15),2KU(2),2KD(2)	
213	LRRN4	58	FSD	FSD(1),STG(1),SYN(1),INT(42),UT5(2),2KU(8),2KD(3)	
214	LSM14B	40	MIS	MIS(1),SYN(1),INT(30),UT3(2),2KU(6)	
215	MACROD2	3041	SYN	SYN(1),INT(3028),UT5(1),UT3(4),2KU(1),2KD(6)	
216	MAFB	4	MIS	MIS(1),UT3(1),2KD(2)	
217	MANBAL	63	MIS	MIS(1),INT(54),UT3(4),2KD(4)	
218	MAP1LC3A	1	2KU	2KU(1)	
219	MAPRE1	11	INT	INT(7),UT3(1),2KU(3)	
220	MATN4	7	INT	INT(4),2KU(1),2KD(2)	
221	MAVS	28	INT	INT(13),UT5(1),UT3(11),2KU(1),2KD(2)	
222	MCM8	22	INT	INT(19),2KU(2),2KD(1)	
223	MGME1	52	MIS	MIS(2),SYN(2),INT(42),UT3(1),2KU(3),2KD(2)	
224	MKKS	60	IND	IND(1),MIS(4),SYN(3),INT(33),UT5(1),UT3(12),2KU(2),2KD(4)	
225	MMP24	27	MIS	MIS(1),SYN(1),INT(22),UT3(2),2KD(1)	
226	MMP24-AS1	2	MIS	MIS(1),2KD(1)	
227	MOCS3	5	UT3	UT3(3),2KU(1),2KD(1)	
228	MRGBP	11	INT	INT(3),UT3(3),2KU(2),2KD(3)	
229	MROH8	41	SYN	SYN(1),INT(35),UT3(1),2KU(3),2KD(1)	
230	MRPS26	19	MIS	MIS(2),INT(2),UT3(1),2KU(7),2KD(7)	
231	MTG2	43	MIS	MIS(3),SYN(3),INT(23),UT3(6),2KD(8)	
232	MTRNR2L3	17	UT5	UT5(2),2KU(13),2KD(2)	
233	MYBL2	8	INT	INT(8)	
234	MYH7B	18	MIS	MIS(3),SYN(2),INT(9),UT3(1),2KU(2),2KD(1)	
235	MYL9	10	INT	INT(2),UT3(3),2KD(5)	
236	NAA20	17	SYN	SYN(1),INT(7),UT5(1),UT3(6),2KU(1),2KD(1)	
237	NANP	7	INT	INT(4),UT3(2),2KD(1)	
238	NAPB	97	FSI	FSI(1),FSD(1),SYN(1),INT(81),UT3(4),2KU(2),2KD(7)	
239	NCOA3	25	MIS	MIS(1),INT(19),UT3(2),2KU(2),2KD(1)	
240	NCOA5	21	INT	INT(20),2KU(1)	
241	NCOA6	9	INT	INT(8),2KU(1)	
242	NDRG3	25	SYN	SYN(1),INT(21),2KU(2),2KD(1)	
243	NDUFAF5	55	FSD	FSD(1),UNK(1),INT(46),UT3(4),2KU(1),2KD(2)	
244	NECAB3	43	MIS	MIS(2),INT(25),UT5(3),UT3(1),2KU(3),2KD(9)	
245	NELFCD	27	MIS	MIS(3),SYN(2),INT(16),UT3(1),2KU(5)	
246	NEURL2	12	MIS	MIS(2),INT(5),UT5(1),2KU(3),2KD(1)	
247	NFATC2	170	INI	INI(1),MIS(1),SYN(1),INT(165),UT3(1),2KD(1)	
248	NFS1	25	MIS	MIS(2),INT(17),UT3(1),2KU(4),2KD(1)	
249	NINL	180	STG	STG(1),MIS(3),SYN(2),INT(169),2KU(4),2KD(1)	
250	NKX2-2	12	MIS	MIS(1),INT(1),UT5(3),UT3(1),2KU(4),2KD(2)	
251	NKX2-4	1	INT	INT(1)	
252	NNAT	5	UT3	UT3(1),2KD(4)	
253	NOL4L	239	MIS	MIS(2),SYN(1),INT(226),UT5(1),UT3(6),2KU(2),2KD(1)	
254	NOP56	2	MIS	MIS(1),2KU(1)	
255	NPEPL1	21	SPL	SPL(1),MIS(1),INT(16),2KU(1),2KD(2)	
256	NRSN2	31	INT	INT(25),2KU(4),2KD(2)	
257	NSFL1C	74	FSI	FSI(1),FSD(1),INI(1),MIS(1),SYN(3),INT(60),UT3(1),2KU(5),2KD(1)	
258	NTSR1	111	MIS	MIS(1),INT(99),UT3(4),2KU(4),2KD(3)	
259	NXT1	11	MIS	MIS(1),INT(3),UT3(1),2KU(4),2KD(2)	
260	OCSTAMP	16	FSI	FSI(1),MIS(1),SYN(1),INT(3),2KD(10)	
261	OGFR	16	INT	INT(14),2KU(2)	
262	OSBPL2	47	MIS	MIS(1),SYN(1),INT(43),UT3(1),2KD(1)	
