association	confidence	support	lift	conviction
{LRRN4,SIRPB1,TMEM189;TMEM189-UBE2V1}	1.0	0.625	1.6	375000000.0
{DEFB127,LRRN4,TMEM189;TMEM189-UBE2V1}	1.0	0.625	1.1428571428571428	124999999.99999999
{DEFB127,LRRN4,SIRPB1}	1.0	0.625	1.1428571428571428	124999999.99999999
{BCAS1,LRRN4,TMEM189;TMEM189-UBE2V1}	1.0	0.625	1.3333333333333333	249999999.99999997
{BCAS1,LRRN4,SIRPB1}	1.0	0.625	1.3333333333333333	249999999.99999997
{BCAS1,DEFB127,TMEM189;TMEM189-UBE2V1}	1.0	0.625	1.6	375000000.0
{BCAS1,DEFB127,SIRPB1}	1.0	0.625	1.6	375000000.0
{BCAS1,DEFB127,LRRN4}	1.0	0.625	1.0	0.0
{LRRN4,TMEM189;TMEM189-UBE2V1}->	1.0	0.625	1.6	375000000.0
{LRRN4,SIRPB1}->	1.0	0.625	1.6	375000000.0
{DEFB127,LRRN4}->	1.0	0.625	1.1428571428571428	124999999.99999999
{BCAS1,LRRN4}->	1.0	0.625	1.3333333333333333	249999999.99999997
{BCAS1,DEFB127}->	1.0	0.625	1.6	375000000.0
{LRRN4}->{BCAS1,	1.0	0.625	1.6	375000000.0
{DEFB127,LRRN4,TGM6,	1.0	0.625	1.1428571428571428	124999999.99999999
{BCAS1,LRRN4,TGM6,	1.0	0.625	1.3333333333333333	249999999.99999997
{BCAS1,DEFB127,TGM6,	1.0	0.625	1.6	375000000.0
{BCAS1,DEFB127,LRRN4,	1.0	0.625	1.0	0.0
{BCAS1,DEFB127,LRRN4,	1.0	0.625	1.0	0.0
{LRRN4,TGM6,TMEM189;TMEM189-UBE2V1}	1.0	0.625	1.6	375000000.0
{DEFB127,LRRN4,TMEM189;TMEM189-UBE2V1}	1.0	0.625	1.1428571428571428	124999999.99999999
{DEFB127,LRRN4,TGM6}	1.0	0.625	1.1428571428571428	124999999.99999999
{BCAS1,LRRN4,TMEM189;TMEM189-UBE2V1}	1.0	0.625	1.3333333333333333	249999999.99999997
{BCAS1,LRRN4,TGM6}	1.0	0.625	1.3333333333333333	249999999.99999997
{BCAS1,DEFB127,TMEM189;TMEM189-UBE2V1}	1.0	0.625	1.6	375000000.0
{BCAS1,DEFB127,TGM6}	1.0	0.625	1.6	375000000.0
{BCAS1,DEFB127,LRRN4}	1.0	0.625	1.0	0.0
{LRRN4,TMEM189;TMEM189-UBE2V1}->	1.0	0.625	1.6	375000000.0
{LRRN4,TGM6}->	1.0	0.625	1.6	375000000.0
{DEFB127,LRRN4}->	1.0	0.625	1.1428571428571428	124999999.99999999
{BCAS1,LRRN4}->	1.0	0.625	1.3333333333333333	249999999.99999997
